module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
bam,bmad-bam-create-master-architecture,Create Master Architecture,CMAR,Create frozen master architecture with tenant model and module boundaries,run,,3-solutioning,,,true,{output_folder}/planning-artifacts,master-architecture.md
bam,bmad-bam-scaffold-foundation,Scaffold Foundation,SF,Scaffold foundation code via create-tenant-service,run,,3-solutioning,bmad-bam-create-master-architecture,,false,{output_folder}/implementation-artifacts,foundation scaffold
bam,bmad-bam-validate-foundation,Validate Foundation,VF,Validate foundation gate checklist,run,,3-solutioning,bmad-bam-scaffold-foundation,,true,{output_folder}/planning-artifacts,foundation-gate-report.md
bam,bmad-bam-tenant-model-isolation,Tenant Model Isolation,TMI,Design tenant isolation strategy with RLS policies,run,,3-solutioning,bmad-bam-create-master-architecture,,true,{output_folder}/planning-artifacts,tenant-model.md
bam,bmad-bam-module-boundary-design,Module Boundary Design,MBD,Design module boundaries and ownership,run,,3-solutioning,bmad-bam-create-master-architecture,,true,{output_folder}/planning-artifacts,module-boundaries.md
bam,bmad-bam-tenant-aware-observability,Tenant-Aware Observability,TAO,Design tenant-aware observability and telemetry,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,observability-spec.md
bam,bmad-bam-usage-metering-design,Usage Metering Design,UMD,Design usage metering pipeline for billing,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,usage-metering.md
bam,bmad-bam-tenant-onboarding-design,Tenant Onboarding Design,TOD,Design tenant provisioning orchestration with tier-specific flows,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,onboarding-runbook.md
bam,bmad-bam-tenant-offboarding-design,Tenant Offboarding Design,TOFD,Design GDPR-compliant tenant offboarding with data archival,run,,3-solutioning,bmad-bam-tenant-model-isolation,,false,{output_folder}/planning-artifacts,offboarding-runbook.md
bam,bmad-bam-master-architecture-emergency-change,Master Architecture Emergency Change,MAEC,Emergency protocol for changing frozen master architecture,run,,3-solutioning,,,false,{output_folder}/architecture-docs,adr-emergency-change.md
bam,bmad-bam-requirement-ingestion,Requirement Ingestion,RI,Decompose large feature catalogs into module definitions,run,,2-planning,,,false,{output_folder}/planning-artifacts,module-definitions.md
bam,bmad-bam-triage-module-complexity,Triage Module Complexity,MCT,Classify module complexity using 8-question assessment,run,,2-planning,bmad-bam-requirement-ingestion,,false,{output_folder}/planning-artifacts,complexity-triage.md
bam,bmad-bam-api-version-release,API Version Release,AVR,Release new REST API version with OpenAPI docs and migration guide,run,,4-implementation,,,false,{output_folder}/implementation-artifacts,api-release-notes.md
bam,bmad-bam-create-module-architecture,Create Module Architecture,CMA,Design per-module architecture inheriting from master,run,,3-solutioning,bmad-bam-validate-foundation,,true,{output_folder}/planning-artifacts,module-architecture.md
bam,bmad-bam-create-module-epics,Create Module Epics,CME,Create epics and stories scoped to single module,run,,2-planning,bmad-bam-create-module-architecture,,false,{output_folder}/planning-artifacts,module-epics.md
bam,bmad-bam-validate-module,Validate Module,VM,Validate module architecture against master architecture,run,,3-solutioning,bmad-bam-create-module-architecture,,true,{output_folder}/planning-artifacts,module-gate-report.md
bam,bmad-bam-define-facade-contract,Define Facade Contract,DFC,Define a new facade contract between modules,run,,3-solutioning,bmad-bam-create-module-architecture,,false,{output_folder}/planning-artifacts,facade-contract.md
bam,bmad-bam-evolve-facade-contract,Evolve Facade Contract,EFC,Evolve existing facade contract with breaking changes,run,,3-solutioning,bmad-bam-define-facade-contract,,false,{output_folder}/planning-artifacts,facade-migration.md
bam,bmad-bam-facade-mismatch-recovery,Facade Mismatch Recovery,FMR,Recover from unplanned facade contract divergence,run,,4-implementation,,,false,{output_folder}/implementation-artifacts,facade-recovery-plan.md
bam,bmad-bam-validate-tool-contract,Validate Tool Contract,VTC,Validate tool contract against ToolDefinition schema and QG-M3-TOOLS,run,,3-solutioning,,,false,{output_folder}/planning-artifacts,tool-validation-report.md
bam,bmad-bam-internal-contract-design,Internal Contract Design,ICD,Design module facade contracts and event schemas,run,,3-solutioning,bmad-bam-create-module-architecture,,false,{output_folder}/planning-artifacts,internal-contracts.md
bam,bmad-bam-cross-module-story,Cross Module Story,CMS,Decompose cross-module user journey into module-scoped tasks,run,,2-planning,bmad-bam-create-module-architecture,,false,{output_folder}/planning-artifacts,cross-module-decomposition.md
bam,bmad-bam-convergence-verification,Convergence Verification,CV,Verify cross-module integration before release,run,,4-implementation,,,true,{output_folder}/planning-artifacts,convergence-report.md
bam,bmad-bam-agent-runtime-architecture,Agent Runtime Architecture,ARA,Design complete AI runtime architecture with LangGraph,run,,3-solutioning,bmad-bam-validate-foundation,,false,{output_folder}/planning-artifacts,agent-runtime.md
bam,bmad-bam-ai-eval-safety-design,AI Eval Safety Design,AES,Design AI evaluation metrics and safety strategy,run,,3-solutioning,bmad-bam-agent-runtime-architecture,,false,{output_folder}/planning-artifacts,ai-safety-spec.md
bam,bmad-bam-ai-agent-debug,AI Agent Debug,AAD,Debug AI agent behavior during development,run,,4-implementation,,,false,{output_folder}/implementation-artifacts,debug-session.md
bam,bmad-bam-list-tools,List Tools,LT,List all registered AI tools with filtering,run,,anytime,,,false,,tool-registry.md
